algorithm,recall,qps,avg_neighbor_distance,hypercube_M,hypercube_k_proj,hypercube_probe,hypercube_w,ivf_nprobe,ivf_num_clusters,ivfpq_Ks,ivfpq_M,ivfpq_nprobe,ivfpq_num_clusters,lsh_hash_size,lsh_num_tables,lsh_table_size,lsh_w
lsh,0.2333,55.54,1.273,,,,,,,,,,,2,5,16384,0.5
lsh,0.5333,17.35,1.2645,,,,,,,,,,,2,5,16384,1.0
lsh,0.7667,8.58,1.2596,,,,,,,,,,,2,5,16384,2.0
lsh,1.0,5.86,1.2568,,,,,,,,,,,2,5,16384,4.0
lsh,0.2333,34.7,1.2696,,,,,,,,,,,2,8,16384,0.5
lsh,0.7,11.56,1.2605,,,,,,,,,,,2,8,16384,1.0
lsh,0.8333,6.67,1.2584,,,,,,,,,,,2,8,16384,2.0
lsh,1.0,5.84,1.2568,,,,,,,,,,,2,8,16384,4.0
lsh,0.0,968.48,1.3141,,,,,,,,,,,4,5,16384,0.5
lsh,0.0333,166.09,1.2876,,,,,,,,,,,4,5,16384,1.0
lsh,0.4,24.89,1.2677,,,,,,,,,,,4,5,16384,2.0
lsh,0.9333,6.56,1.2578,,,,,,,,,,,4,5,16384,4.0
lsh,0.0,700.24,1.312,,,,,,,,,,,4,8,16384,0.5
lsh,0.0667,102.61,1.2817,,,,,,,,,,,4,8,16384,1.0
lsh,0.5,15.47,1.2652,,,,,,,,,,,4,8,16384,2.0
lsh,0.9333,6.08,1.2578,,,,,,,,,,,4,8,16384,4.0
lsh,0.0,1448.14,1.3648,,,,,,,,,,,6,5,16384,0.5
lsh,0.0,746.41,1.3142,,,,,,,,,,,6,5,16384,1.0
lsh,0.2333,80.36,1.2764,,,,,,,,,,,6,5,16384,2.0
lsh,0.8,8.62,1.2589,,,,,,,,,,,6,5,16384,4.0
lsh,0.0,1220.87,1.359,,,,,,,,,,,6,8,16384,0.5
lsh,0.0,611.73,1.308,,,,,,,,,,,6,8,16384,1.0
