trial,value,lr,batch_size,nodes,layers,dropout,activation,weight_decay,lr_scheduler_patience,lr_scheduler_factor,early_stopping_patience,grad_clip
0,48.64,0.0001329291894316216,32,128,1,0.4330880728874676,tanh,0.0008123245085588687,9,0.24863737747479334,6,0.4484685687215243
1,56.36,8.17949947521167e-05,256,128,2,0.18318092164684585,tanh,3.489018845491386e-05,7,0.1325152889039984,13,0.4239958350058539
2,32.84,1.5673095467235405e-05,64,96,3,0.22007624686980065,tanh,0.0005345166110646819,4,0.5637655990477874,8,1.0881292402378406
3,54.25333333333333,0.00043664735929796326,64,480,3,0.4609371175115584,tanh,9.462175356461487e-06,5,0.28994432224172717,17,0.7778313207178196
4,44.053333333333335,6.963114377829287e-05,128,512,4,0.0993578407670862,tanh,0.00015382308040278996,8,0.15183125621386326,9,0.3201512130977464
5,58.70666666666666,0.0038842777547031426,32,192,3,0.31877873567760656,relu,0.00013795402040204168,8,0.4928940382986474,16,1.0382116330923423
6,59.81333333333333,0.0003699972431463808,32,352,2,0.2542853455823514,relu,0.0001847793417351927,4,0.15388593688015512,8,0.4063204457826084
7,51.4,0.006153085601625313,128,128,4,0.26967112095782536,tanh,2.138729075414893e-06,4,0.3989754520383795,17,1.7353881081870526
8,25.96,1.0491954332267901e-05,32,224,4,0.16160146601037761,tanh,0.0008228984573308163,10,0.2762476070777549,11,0.6716687886518623
9,6.56,7.153547794693153e-05,64,192,4,0.11978094533348621,sigmoid,5.32311458092889e-06,8,0.6331337307301024,7,1.4836110623625332
10,59.4,0.000901910728720056,256,384,1,0.0251605511226089,relu,4.5350946347798476e-05,2,0.7628733134731047,3,0.15410875316594608
11,59.24,0.0010893847557380462,256,384,1,0.010004296484085802,relu,5.635859278732624e-05,2,0.764279419505002,4,0.11387802903372976
12,59.053333333333335,0.001169632063201036,256,352,2,0.002919366107855318,relu,0.00014396702667440208,2,0.7995537070490861,3,0.14854404014003186
13,60.28,0.00046395484622675423,256,384,1,0.34267410652823205,relu,1.3175740408557282e-05,3,0.6766424235374722,5,0.6912494892220451
14,57.68,0.0002611956170165577,32,320,2,0.37726746638928377,relu,9.495200535595001e-06,4,0.657551334145664,11,0.7722350363420476
15,59.4,0.002529729067152426,256,448,1,0.3087004664169958,sigmoid,1.2068605164306033e-06,6,0.39684963884327196,6,1.0806656638104455
16,57.68,0.00034216769262912093,32,256,2,0.3785081644596848,relu,1.9012533762475032e-05,3,0.4955377660938967,13,0.5866050619662556
17,50.77333333333333,2.9412121447775385e-05,128,416,1,0.36125608618469385,relu,0.00030725710477832996,5,0.6652048169938143,9,1.3183483214537586
18,56.586666666666666,0.0001796644891315563,32,288,2,0.4981126922026228,relu,1.6311964315945858e-05,3,0.19713895760141925,20,1.9883012915944465
19,52.46666666666667,0.0005528989403740449,256,320,1,0.24958090323305748,sigmoid,7.518075959735304e-05,6,0.3326573517623166,5,0.8068151515302937
20,62.10666666666667,0.009701441280339259,256,416,2,0.32796910342293145,relu,5.17790371234369e-06,3,0.5704411429580172,9,0.9327892877438946
21,61.266666666666666,0.0017353624834311784,256,448,2,0.3115312600314886,relu,2.887668177568148e-06,3,0.59016680800571,9,0.9286244836614111
22,59.38666666666666,0.00787097218631358,256,480,3,0.32303651091807817,relu,3.3765688370285458e-06,3,0.5857583483541203,10,0.95668192138974
23,61.25333333333333,0.0024319019502798906,256,416,2,0.40123554286847685,relu,4.8078399529809675e-06,3,0.7069736059194177,13,1.2403013579720854
24,61.13333333333333,0.0022770148238718015,256,448,2,0.42117605015855264,relu,1.0194477622702469e-06,5,0.5669532436704549,14,1.3019489971656628
25,63.13333333333333,0.004354675839632649,256,512,2,0.40799079622505763,relu,4.5951439261300125e-06,2,0.7289391347461126,13,1.3319254506574825
26,6.56,0.009257583773391198,256,512,3,0.3010646774387342,sigmoid,2.0711681571303103e-06,2,0.4999598629467585,15,1.4846693772470998
27,62.25333333333333,0.004773921668494015,256,448,2,0.459199231458295,relu,5.7229763349327925e-06,2,0.720798191070498,12,1.4872076326996317
28,60.06666666666667,0.004734185304749587,256,512,3,0.47188781956676207,relu,5.886811585120334e-06,2,0.746369265110537,12,1.6780374173093553
29,61.88,0.0034914178130149498,256,480,2,0.43321529605241427,relu,2.6216993900656097e-05,2,0.7155933806746783,12,1.4994616533032583
